Task,#,Stage,Status,Depends on,Assigned,Description
Node.js + Express + Supabase Backend (Feature-Based Architecture),1,1. Project Foundation,Done,,,"Build a production-grade REST API backend using Node.js, Express, and Supabase with Feature-Based Architecture. Covers: Auth, Products, Cart, Orders, Wishlist, Notifications, Users, Admin."
Next.js 14 Frontend (React + TypeScript + Tailwind + i18n),2,1. Project Foundation,Done,,,"Build a production-grade frontend using Next.js 14 App Router, TypeScript, Tailwind CSS, Zustand, TanStack Query, and next-intl. Covers: Auth, Products, Cart, Checkout, Orders, Wishlist, Notifications, Profile, Admin Panel, AR/EN RTL/LTR."
Project Initialization,3,1. Project Foundation,Done,,,"Create Flutter project, add dependencies: supabase_flutter, flutter_riverpod, riverpod_annotation, go_router, envied. Configure dart-define environments (.http://env.dev, .http://env.prod). Enable null safety."
Configure Feature-First Folder Structure,4,1. Project Foundation,Done,Project Initialization (Project%20Initialization%206e1e261fb7694c4bb88bd7cf7c1c80cc.csv),,"Setup lib/features/{feature}/data/{datasource,models,mappers,repositories}/, logic/{contracts,entities,providers,notifiers,states}/, ui/{screens,widgets}/ per feature. lib/core/: supabase/, router/, theme/, utils/, widgets/."
Create Users Table,5,2. Database Design (Supabase),Done,Setup Supabase Connection (Setup%20Supabase%20Connection%205a2f8c2ad7dc43a0b1f33654596c0f60.csv),Ahmed Alalawi,"Create users table: id (uuid FK auth.users), email, full_name, phone, avatar_url, role (user/admin), created_at. Enable RLS: users can read/update own row only."
Setup Riverpod Architecture,6,1. Project Foundation,Done,Configure Feature-First Folder Structure (Configure%20Feature-First%20Folder%20Structure%20e45d60e94f454efaa9529ccdd2080f84.csv),Ahmed Alalawi,Wrap app in ProviderScope. Setup AsyncNotifier base pattern. Configure go_router with GoRouter provider watching auth state. Define AppRouter in core/router/app_router.dart.
Create Categories Table,7,2. Database Design (Supabase),Done,Setup Supabase Connection (Setup%20Supabase%20Connection%205a2f8c2ad7dc43a0b1f33654596c0f60.csv),Ahmed Alalawi,"categories: id, name_en, name_ar, slug, image_url, parent_id (self-ref nullable), is_active, sort_order. RLS: public read, admin write only."
Setup Supabase Connection,8,1. Project Foundation,Done,Project Initialization (Project%20Initialization%206e1e261fb7694c4bb88bd7cf7c1c80cc.csv),Ahmed Alalawi,Initialize Supabase in main.dart. Create core/supabase/supabase_service.dart as singleton. Expose SupabaseClient via Riverpod provider in core/supabase/supabase_provider.dart.
Create Products Table,9,2. Database Design (Supabase),Done,Create Categories Table (Create%20Categories%20Table%206c200abc2dfb4281a333d102543f0f3a.csv),Ahmed Alalawi,"products: id, category_id (FK), name_en, name_ar, description_en, description_ar, base_price, discount_price, images (text[]), is_active, is_featured, sort_order, created_at. RLS: public read, admin write."
Create Product Variants Table,10,2. Database Design (Supabase),Done,Create Products Table (Create%20Products%20Table%20a50184bf176249daa1ae97074475b07b.csv),Ahmed Alalawi,"product_variants: id, product_id (FK), sku (unique), size, color_en, color_ar, color_hex, price, discount_price, stock, is_active, sort_order. RLS: public read, admin write."
"Create Remaining Tables (cart_items, orders, order_items, wishlist, notifications) + RLS",11,2. Database Design (Supabase),Done,Create Product Variants Table (Create%20Product%20Variants%20Table%2004e88ae73107484aac310afc7eaa3393.csv),Ahmed Alalawi,"cart_items: id, user_id (FK), variant_id (FK product_variants), quantity, created_at. Unique constraint (user_id, variant_id). RLS: users access own rows only. orders: id, user_id, status (enum), total_amount, shipping_address (jsonb), created_at. order_items: id, order_id, variant_id, quantity, unit_price. wishlist: id, user_id, product_id, created_at. Unique (user_id, product_id). notifications: id, user_id, title, body, type, is_read, order_id (nullable), created_at. RLS: users access own rows only across all tables."
Auth — Data Layer (Datasource + Model + Mapper + Repo Impl),12,3. Auth Feature,Done,Setup Riverpod Architecture (Setup%20Riverpod%20Architecture%204c6cb5c1244f417b9047f5c43b550068.csv),Ahmed Alalawi,"auth/data/datasource/auth_remote_datasource.dart: signIn, signUp, signOut, getCurrentUser, authStateChanges (Supabase calls only). auth/data/models/user_model.dart (fromJson/toJson). auth/data/mappers/user_mapper.dart (UserModel -> UserEntity). auth/data/repositories/auth_repository_impl.dart (implements IAuthRepository)."
Auth — Logic Layer (Contract + Entity + State + Notifier + Provider),13,3. Auth Feature,Done,"Auth — Data Layer (Datasource + Model + Mapper + Repo Impl) (Auth%20%E2%80%94%20Data%20Layer%20(Datasource%20+%20Model%20+%20Mapper%20+%20R%20618b726e2ca0468bb37b6d1ffd47fb7a.csv), Setup Supabase Connection (Setup%20Supabase%20Connection%205a2f8c2ad7dc43a0b1f33654596c0f60.csv)",Ahmed Alalawi,"auth/logic/contracts/auth_repository.dart (abstract IAuthRepository). auth/logic/entities/user_entity.dart. auth/logic/states/auth_state.dart (sealed: initial, loading, authenticated, unauthenticated, error). auth/logic/notifiers/auth_notifier.dart (AsyncNotifier: signIn, signUp, signOut). auth/logic/providers/auth_provider.dart (authNotifierProvider, currentUserProvider, authStateProvider)."
Auth — UI Layer (Screens + Widgets),14,3. Auth Feature,Done,Auth — Data Layer (Datasource + Model + Mapper + Repo Impl) (Auth%20%E2%80%94%20Data%20Layer%20(Datasource%20+%20Model%20+%20Mapper%20+%20R%20618b726e2ca0468bb37b6d1ffd47fb7a.csv),Ahmed Alalawi,"auth/ui/screens/: login_screen.dart, register_screen.dart, splash_screen.dart. auth/ui/widgets/: auth_text_field.dart, auth_button.dart. GoRouter redirect watches authStateProvider."
Product — Data Layer (Datasource + Models + Mappers + Repo Impl),15,3. Auth Feature,Done,Auth — UI Layer (Screens + Widgets) (Auth%20%E2%80%94%20UI%20Layer%20(Screens%20+%20Widgets)%20503cdf608a4048f5a3f834c716325158.csv),Ahmed Alalawi,"product/data/datasource/product_remote_datasource.dart: getProducts, getProductById, getProductsByCategory, searchProducts (Supabase). product/data/models/: product_model.dart, category_model.dart, product_variant_model.dart (fromJson/toJson). product/data/mappers/: product_mapper.dart, category_mapper.dart, variant_mapper.dart. product/data/repositories/product_repository_impl.dart."
Product — Logic Layer (Contract + Entities + State + Notifier + Providers),16,4. Product Feature,Done,Setup Riverpod Architecture (Setup%20Riverpod%20Architecture%204c6cb5c1244f417b9047f5c43b550068.csv),Ahmed Alalawi,"product/logic/contracts/product_repository.dart (abstract IProductRepository). product/logic/entities/: product_entity.dart, category_entity.dart, product_variant_entity.dart. product/logic/states/product_state.dart (sealed). product/logic/notifiers/product_notifier.dart. product/logic/providers/product_provider.dart (productsProvider, productDetailProvider, categoriesProvider, searchProvider)."
Product — UI Layer (Screens + Widgets),17,4. Product Feature,Done,Product — Logic Layer (Contract + Entities + State + Notifier + Providers) (Product%20%E2%80%94%20Logic%20Layer%20(Contract%20+%20Entities%20+%20State%2017fabecf50db47a98dc85ea3a57b8602.csv),Ahmed Alalawi,"product/ui/screens/: home_screen.dart, product_list_screen.dart, product_detail_screen.dart, search_screen.dart. product/ui/widgets/: product_card.dart, product_grid.dart, category_selector.dart, variant_selector.dart, image_carousel.dart."
Cart — Data Layer (Datasource + Model + Mapper + Repo Impl),18,4. Product Feature,Done,Product — Logic Layer (Contract + Entities + State + Notifier + Providers) (Product%20%E2%80%94%20Logic%20Layer%20(Contract%20+%20Entities%20+%20State%2017fabecf50db47a98dc85ea3a57b8602.csv),Ahmed Alalawi,"cart/data/datasource/cart_remote_datasource.dart: getCart, addToCart, updateQuantity, removeFromCart, clearCart (Supabase). cart/data/models/cart_item_model.dart. cart/data/mappers/cart_item_mapper.dart. cart/data/repositories/cart_repository_impl.dart."
Cart — Logic Layer (Contract + Entity + State + Notifier + Providers),19,5. Cart Feature,Done,Product — Logic Layer (Contract + Entities + State + Notifier + Providers) (Product%20%E2%80%94%20Logic%20Layer%20(Contract%20+%20Entities%20+%20State%2017fabecf50db47a98dc85ea3a57b8602.csv),Ahmed Alalawi,"cart/logic/contracts/cart_repository.dart (abstract ICartRepository). cart/logic/entities/cart_item_entity.dart. cart/logic/states/cart_state.dart (sealed). cart/logic/notifiers/cart_notifier.dart (AsyncNotifier: add, remove, updateQuantity, clear). cart/logic/providers/cart_provider.dart (cartProvider, cartTotalProvider, cartCountProvider)."
Cart — UI Layer (Screens + Widgets),20,5. Cart Feature,Done,Cart — Logic Layer (Contract + Entity + State + Notifier + Providers) (Cart%20%E2%80%94%20Logic%20Layer%20(Contract%20+%20Entity%20+%20State%20+%20No%2085b6bd9a009f42bd959cd5d4b4225fe0.csv),,"cart/ui/screens/cart_screen.dart. cart/ui/widgets/: cart_item_tile.dart, cart_summary_card.dart, quantity_selector.dart, empty_cart_view.dart."
Order — Data Layer (Datasource + Models + Mappers + Repo Impl),21,5. Cart Feature,Done,Cart — Logic Layer (Contract + Entity + State + Notifier + Providers) (Cart%20%E2%80%94%20Logic%20Layer%20(Contract%20+%20Entity%20+%20State%20+%20No%2085b6bd9a009f42bd959cd5d4b4225fe0.csv),Ahmed Alalawi,"order/data/datasource/order_remote_datasource.dart: placeOrder (RPC), getOrders, getOrderById, cancelOrder. order/data/models/: order_model.dart, order_item_model.dart. order/data/mappers/: order_mapper.dart, order_item_mapper.dart. order/data/repositories/order_repository_impl.dart."
Order — Logic Layer (Contract + Entities + States + Notifiers + Providers),22,6. Order Feature,Done,Cart — Logic Layer (Contract + Entity + State + Notifier + Providers) (Cart%20%E2%80%94%20Logic%20Layer%20(Contract%20+%20Entity%20+%20State%20+%20No%2085b6bd9a009f42bd959cd5d4b4225fe0.csv),Ahmed Alalawi,"order/logic/contracts/order_repository.dart (abstract IOrderRepository). order/logic/entities/: order_entity.dart, order_item_entity.dart. order/logic/states/: order_state.dart, checkout_state.dart (sealed). order/logic/notifiers/: order_notifier.dart, checkout_notifier.dart. order/logic/providers/order_provider.dart (ordersProvider, orderDetailProvider, checkoutProvider)."
Order — UI Layer (Screens + Widgets),23,6. Order Feature,Done,Order — Logic Layer (Contract + Entities + States + Notifiers + Providers) (Order%20%E2%80%94%20Logic%20Layer%20(Contract%20+%20Entities%20+%20States%20%20f04d205303f9441d95d4c4316ba634fb.csv),,"order/ui/screens/: checkout_screen.dart, order_confirmation_screen.dart, orders_list_screen.dart, order_detail_screen.dart. order/ui/widgets/: order_card.dart, order_status_badge.dart, order_items_list.dart, address_form.dart."
Wishlist — Data + Logic + UI,24,6. Order Feature,Done,Order — Logic Layer (Contract + Entities + States + Notifiers + Providers) (Order%20%E2%80%94%20Logic%20Layer%20(Contract%20+%20Entities%20+%20States%20%20f04d205303f9441d95d4c4316ba634fb.csv),Ahmed Alalawi,wishlist/data/datasource/wishlist_remote_datasource.dart. wishlist/data/models/wishlist_item_model.dart. wishlist/data/mappers/wishlist_item_mapper.dart. wishlist/data/repositories/wishlist_repository_impl.dart. wishlist/logic/contracts/wishlist_repository.dart. wishlist/logic/entities/wishlist_item_entity.dart. wishlist/logic/states/wishlist_state.dart. wishlist/logic/notifiers/wishlist_notifier.dart. wishlist/logic/providers/wishlist_provider.dart. wishlist/ui/screens/wishlist_screen.dart. wishlist/ui/widgets/wishlist_product_card.dart.
Notifications — Data + Logic + UI,25,6. Order Feature,Done,Wishlist — Data + Logic + UI (Wishlist%20%E2%80%94%20Data%20+%20Logic%20+%20UI%205291196008f6411b80328ba4c513f2bb.csv),Ahmed Alalawi,"notifications/data/datasource/notification_remote_datasource.dart (getNotifications, markAsRead, markAllAsRead, realtime channel). notifications/data/models/notification_model.dart. notifications/data/mappers/notification_mapper.dart. notifications/data/repositories/notification_repository_impl.dart. notifications/logic/contracts/notification_repository.dart. notifications/logic/entities/notification_entity.dart. notifications/logic/states/notification_state.dart. notifications/logic/notifiers/notification_notifier.dart (realtime sub). notifications/logic/providers/notification_provider.dart. notifications/ui/screens/notifications_screen.dart. notifications/ui/widgets/notification_tile.dart."
Core — Localization (AR/EN + RTL/LTR),26,1. Project Foundation,Todo,Project Initialization (Project%20Initialization%206e1e261fb7694c4bb88bd7cf7c1c80cc.csv),Ahmed Alalawi,"core/l10n/: app_en.arb, app_ar.arb. Configure flutter_localizations + intl. Create LocaleNotifier (StateNotifier) in core/providers/locale_provider.dart. Wrap MaterialApp with localizationsDelegates and locale from provider. Handle RTL/LTR via Directionality based on locale."
Testing — Widget & Integration Tests,27,10. Finalization,Todo,"Product — Data Layer (Datasource + Models + Mappers + Repo Impl) (Product%20%E2%80%94%20Data%20Layer%20(Datasource%20+%20Models%20+%20Mapper%2084d951c6a45444f79304d2c43e7630b0.csv), Admin — Product (Data + Logic + UI) (Admin%20%E2%80%94%20Product%20(Data%20+%20Logic%20+%20UI)%2090458ff635df4c15985a8f7d6cf6eefe.csv), Admin — Orders (Data + Logic + UI) (Admin%20%E2%80%94%20Orders%20(Data%20+%20Logic%20+%20UI)%20f32d5af161b148d7924d418dc46438dd.csv), Notifications — Data + Logic + UI (Notifications%20%E2%80%94%20Data%20+%20Logic%20+%20UI%207eddae5de1994d5e94abec8b72309719.csv), Admin — Categories (Data + Logic + UI) (Admin%20%E2%80%94%20Categories%20(Data%20+%20Logic%20+%20UI)%20f23e67bd573f4baf99037d492a8a5c37.csv), Database — RLS Policies, Functions & Seed Data (Database%20%E2%80%94%20RLS%20Policies,%20Functions%20&%20Seed%20Data%208d4f1ae375694183b9ac711a458c28c1.csv)",Ahmed Alalawi,"Widget tests for all reusable core/widgets/. Integration tests for auth flow, cart flow, order flow. Use flutter_test + mocktail. Test Riverpod providers with ProviderContainer override pattern. CI-ready test structure."
Production — Build & Deployment,28,10. Finalization,Todo,Testing — Widget & Integration Tests (Testing%20%E2%80%94%20Widget%20&%20Integration%20Tests%20a6c82896ba2940e8b078800e02a74a28.csv),Ahmed Alalawi,Configure .env.production. Build release APK and iOS archive. Setup Supabase RLS final review. Configure deep links for go_router. App icon + splash screen via flutter_launcher_icons + flutter_native_splash. ProGuard rules for Android.
Admin — Product (Data + Logic + UI),29,9. Admin Panel (Web),Todo,Cart — Data Layer (Datasource + Model + Mapper + Repo Impl) (Cart%20%E2%80%94%20Data%20Layer%20(Datasource%20+%20Model%20+%20Mapper%20+%20R%2076cb4192a6c0478b82949d1efb10574d.csv),Ahmed Alalawi,"admin_product/data/datasource/admin_product_remote_datasource.dart (getProducts, createProduct, updateProduct, deactivate, manageVariants). admin_product/data/models+mappers+repositories. admin_product/logic/contracts+entities+states+notifiers+providers. admin_product/ui/screens/: admin_products_screen.dart, admin_product_form_screen.dart, admin_variants_screen.dart. admin_product/ui/widgets/."
Admin — Orders (Data + Logic + UI),30,9. Admin Panel (Web),Todo,Order — Data Layer (Datasource + Models + Mappers + Repo Impl) (Order%20%E2%80%94%20Data%20Layer%20(Datasource%20+%20Models%20+%20Mappers%20%20979d0903212b41b9a45d149a1498a70a.csv),Ahmed Alalawi,"admin_order/data/datasource/admin_order_remote_datasource.dart (getOrders paginated, updateStatus, getOrderDetail). admin_order/data/models+mappers+repositories. admin_order/logic/contracts+entities+states+notifiers+providers. admin_order/ui/screens/: admin_orders_screen.dart, admin_order_detail_screen.dart. admin_order/ui/widgets/."
Core — Theme System & Shared Widgets,31,2. Database Design (Supabase),Todo,Create Users Table (Create%20Users%20Table%204bb2ceccefd942729123571eecc7859e.csv),Ahmed Alalawi,"core/theme/app_theme.dart: ThemeData (light + dark), color scheme, text theme (Google Fonts), input decoration theme, button themes, card theme. core/widgets/: app_button.dart, app_text_field.dart, app_loading.dart, app_error_widget.dart, app_empty_state.dart, cached_network_image_widget.dart. No hardcoded colors anywhere — all from ThemeData."
Profile — Data + Logic + UI,32,2. Database Design (Supabase),Todo,"Core — Theme System & Shared Widgets (Core%20%E2%80%94%20Theme%20System%20&%20Shared%20Widgets%20b10acf055c3e44718ccdb2eeb49fe296.csv), Create Product Variants Table (Create%20Product%20Variants%20Table%2004e88ae73107484aac310afc7eaa3393.csv)",Ahmed Alalawi,"profile/data/datasource/profile_remote_datasource.dart (getProfile, updateProfile, uploadAvatar). profile/data/models/profile_model.dart. profile/data/mappers/profile_mapper.dart. profile/data/repositories/profile_repository_impl.dart. profile/logic/contracts/profile_repository.dart. profile/logic/entities/profile_entity.dart. profile/logic/states/profile_state.dart. profile/logic/notifiers/profile_notifier.dart. profile/logic/providers/profile_provider.dart. profile/ui/screens/: profile_screen.dart, edit_profile_screen.dart. profile/ui/widgets/avatar_widget.dart."
Core — Navigation (GoRouter + Bottom Nav + Guards),33,2. Database Design (Supabase),Todo,"Create Users Table (Create%20Users%20Table%204bb2ceccefd942729123571eecc7859e.csv), Create Product Variants Table (Create%20Product%20Variants%20Table%2004e88ae73107484aac310afc7eaa3393.csv)",Ahmed Alalawi,"core/router/app_router.dart: define all named routes. Bottom navigation shell route wrapping: home, categories, cart, wishlist, profile. Auth guard redirect. Deep link support. Named route constants in app_routes.dart."
Admin — Dashboard (Data + Logic + UI),34,9. Admin Panel (Web),Todo,Create Users Table (Create%20Users%20Table%204bb2ceccefd942729123571eecc7859e.csv),Ahmed Alalawi,"admin_dashboard/data/datasource/dashboard_remote_datasource.dart (totalOrders, totalRevenue, totalUsers, totalProducts, recentOrders). admin_dashboard/data/models+mappers+repositories. admin_dashboard/logic/contracts+entities+states+notifiers+providers. admin_dashboard/ui/screens/dashboard_screen.dart. admin_dashboard/ui/widgets/: stat_card.dart, recent_orders_table.dart."
Admin — Categories (Data + Logic + UI),35,9. Admin Panel (Web),Todo,Admin — Product (Data + Logic + UI) (Admin%20%E2%80%94%20Product%20(Data%20+%20Logic%20+%20UI)%2090458ff635df4c15985a8f7d6cf6eefe.csv),Ahmed Alalawi,"admin_category/data/datasource/admin_category_remote_datasource.dart (CRUD). admin_category/data/models+mappers+repositories. admin_category/logic/contracts+entities+states+notifiers+providers. admin_category/ui/screens/: admin_categories_screen.dart, admin_category_form_screen.dart. admin_category/ui/widgets/."
"Database — RLS Policies, Functions & Seed Data",36,2. Database Design (Supabase),Todo,Notifications — Data + Logic + UI (Notifications%20%E2%80%94%20Data%20+%20Logic%20+%20UI%207eddae5de1994d5e94abec8b72309719.csv),Ahmed Alalawi,"Write Supabase RLS policies for all tables. Create Supabase DB functions/triggers: auto-create user profile on signup, update order status trigger. Seed dev data: 3 categories, 10 products with variants, 1 admin user. Document all policies."
Error Handling & Validation,37,10. Finalization,Todo,"Product — Data Layer (Datasource + Models + Mappers + Repo Impl) (Product%20%E2%80%94%20Data%20Layer%20(Datasource%20+%20Models%20+%20Mapper%2084d951c6a45444f79304d2c43e7630b0.csv), Admin — Product (Data + Logic + UI) (Admin%20%E2%80%94%20Product%20(Data%20+%20Logic%20+%20UI)%2090458ff635df4c15985a8f7d6cf6eefe.csv), Admin — Orders (Data + Logic + UI) (Admin%20%E2%80%94%20Orders%20(Data%20+%20Logic%20+%20UI)%20f32d5af161b148d7924d418dc46438dd.csv), Notifications — Data + Logic + UI (Notifications%20%E2%80%94%20Data%20+%20Logic%20+%20UI%207eddae5de1994d5e94abec8b72309719.csv), Admin — Categories (Data + Logic + UI) (Admin%20%E2%80%94%20Categories%20(Data%20+%20Logic%20+%20UI)%20f23e67bd573f4baf99037d492a8a5c37.csv), Database — RLS Policies, Functions & Seed Data (Database%20%E2%80%94%20RLS%20Policies,%20Functions%20&%20Seed%20Data%208d4f1ae375694183b9ac711a458c28c1.csv)",,Global error system and input validation. Depends on all features.
Performance Optimization,38,10. Finalization,Todo,"Product — Data Layer (Datasource + Models + Mappers + Repo Impl) (Product%20%E2%80%94%20Data%20Layer%20(Datasource%20+%20Models%20+%20Mapper%2084d951c6a45444f79304d2c43e7630b0.csv), Admin — Product (Data + Logic + UI) (Admin%20%E2%80%94%20Product%20(Data%20+%20Logic%20+%20UI)%2090458ff635df4c15985a8f7d6cf6eefe.csv), Admin — Orders (Data + Logic + UI) (Admin%20%E2%80%94%20Orders%20(Data%20+%20Logic%20+%20UI)%20f32d5af161b148d7924d418dc46438dd.csv), Notifications — Data + Logic + UI (Notifications%20%E2%80%94%20Data%20+%20Logic%20+%20UI%207eddae5de1994d5e94abec8b72309719.csv), Admin — Categories (Data + Logic + UI) (Admin%20%E2%80%94%20Categories%20(Data%20+%20Logic%20+%20UI)%20f23e67bd573f4baf99037d492a8a5c37.csv), Database — RLS Policies, Functions & Seed Data (Database%20%E2%80%94%20RLS%20Policies,%20Functions%20&%20Seed%20Data%208d4f1ae375694183b9ac711a458c28c1.csv)",,"Caching, pagination, lazy loading. Depends on all features."
Admin Web Project Initialization,39,9. Admin Panel (Web),Done,Project Initialization (Project%20Initialization%206e1e261fb7694c4bb88bd7cf7c1c80cc.csv),Ahmed Alalawi,Create a separate Flutter Web project for admin panel with clean structure.
Configure Admin Clean Architecture,40,9. Admin Panel (Web),Done,Admin Web Project Initialization (Admin%20Web%20Project%20Initialization%2034e9611382a1810c9d52d5aa918d28bc.csv),Ahmed Alalawi,Setup feature-first clean architecture (data/domain/presentation) for admin web.
Setup Supabase for Admin Web,41,9. Admin Panel (Web),Done,Admin Web Project Initialization (Admin%20Web%20Project%20Initialization%2034e9611382a1810c9d52d5aa918d28bc.csv),Ahmed Alalawi,Configure Supabase client and environment variables for web platform.
Admin Authentication (Web),42,9. Admin Panel (Web),Done,Setup Supabase for Admin Web (Setup%20Supabase%20for%20Admin%20Web%2034e9611382a1814cab57fef39f217d9c.csv),Ahmed Alalawi,Implement login system for admins using Supabase Auth.
Admin Role Guard (Web),43,9. Admin Panel (Web),Done,Admin Authentication (Web) (Admin%20Authentication%20(Web)%2034e9611382a181309d61c8cb153e1c2c.csv),Ahmed Alalawi,Restrict access to admin-only users using role validation.
Admin Layout System,44,9. Admin Panel (Web),Done,Configure Admin Clean Architecture (Configure%20Admin%20Clean%20Architecture%2034e9611382a181aba6f6c8ce0ab00600.csv),Ahmed Alalawi,"Build responsive admin layout with sidebar, topbar, and routing system."
Dashboard Analytics Page,45,9. Admin Panel (Web),Done,,Ahmed Alalawi,"Show metrics: total orders, total revenue, product count, recent orders."
Categories Management Page,46,9. Admin Panel (Web),Done,Create Categories Table (Create%20Categories%20Table%206c200abc2dfb4281a333d102543f0f3a.csv),Ahmed Alalawi,CRUD categories with multilingual support.
Products Management Page,47,9. Admin Panel (Web),Done,,Ahmed Alalawi,CRUD products with category assignment.
Variants Management UI,48,9. Admin Panel (Web),Done,Products Management Page (Products%20Management%20Page%2034e9611382a18194abe5eecc0e509ec6.csv),Ahmed Alalawi,"Manage sizes, colors, stock, price, discount per product."
Image Upload (Web),49,9. Admin Panel (Web),Done,Setup Supabase for Admin Web (Setup%20Supabase%20for%20Admin%20Web%2034e9611382a1814cab57fef39f217d9c.csv),Ahmed Alalawi,Upload images using Supabase Storage with preview.
Orders Management Page,50,9. Admin Panel (Web),Done,,Ahmed Alalawi,View all orders and update status.
Order Details Page,51,9. Admin Panel (Web),Done,Orders Management Page (Orders%20Management%20Page%2034e9611382a181f28f8bd1de94d44c7a.csv),Ahmed Alalawi,Show full order breakdown with items and user info.
Notifications Trigger Logic,52,9. Admin Panel (Web),Done,Orders Management Page (Orders%20Management%20Page%2034e9611382a181f28f8bd1de94d44c7a.csv),Ahmed Alalawi,Trigger notification creation when order status changes.
Admin State Management (Riverpod),53,9. Admin Panel (Web),Done,Configure Admin Clean Architecture (Configure%20Admin%20Clean%20Architecture%2034e9611382a181aba6f6c8ce0ab00600.csv),Ahmed Alalawi,Implement Notifiers for all admin features.
Form System + Validation,54,9. Admin Panel (Web),Done,,Ahmed Alalawi,Build reusable forms and validation logic.
Table Component System,55,9. Admin Panel (Web),Done,Admin Layout System (Admin%20Layout%20System%2034e9611382a181c2bde5f06744fe7305.csv),Ahmed Alalawi,"Reusable data tables with pagination, sorting, filtering."
Security Rules (Supabase RLS),56,9. Admin Panel (Web),Done,,Ahmed Alalawi,Enforce row-level security: only admin can modify data.
Performance Optimization (Web),57,9. Admin Panel (Web),Done,,Ahmed Alalawi,"Optimize queries, pagination, caching."
Admin Testing & QA,58,9. Admin Panel (Web),Done,,Ahmed Alalawi,Test all flows and edge cases.